id,year,statename,lcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance
1,2016,Tamil Nadu,Gummidipoondi,VIJAYAKUMAR  K S,M,45,GEN,ADMK,89021,311,89332,260912,214348,1,1,AIADMK
2,2016,Tamil Nadu,Gummidipoondi,SEKAR C H,M,37,GEN,DMK,65197,740,65937,260912,214348,2,0,DMK
3,2016,Tamil Nadu,Gummidipoondi,SELVARAJ M,M,44,GEN,PMK,42890,165,43055,260912,214348,3,0,OTHERS
4,2016,Tamil Nadu,Gummidipoondi,GEETHA K,F,33,GEN,DMDK,6563,22,6585,260912,214348,4,0,MMK
5,2016,Tamil Nadu,Gummidipoondi,BHASKARAN M,M,53,GEN,BJP,2081,11,2092,260912,214348,5,0,NDA
6,2016,Tamil Nadu,Gummidipoondi,None of the Above,,,,NOTA,1481,3,1484,260912,214348,6,0,OTHERS
7,2016,Tamil Nadu,Gummidipoondi,MURALI KRISHNA M (A) SAMARAN,M,29,SC,BSP,1279,3,1282,260912,214348,7,0,OTHERS
8,2016,Tamil Nadu,Gummidipoondi,SURESHKUMAR S,M,48,GEN,NTK,1242,8,1250,260912,214348,8,0,OTHERS
9,2016,Tamil Nadu,Gummidipoondi,MURUGAN M,M,47,GEN,IND,875,0,875,260912,214348,9,0,OTHERS
10,2016,Tamil Nadu,Gummidipoondi,KANDAVEL  R,M,40,GEN,YSP,645,0,645,260912,214348,10,0,OTHERS
11,2016,Tamil Nadu,Gummidipoondi,KARUNAKARAN A,M,42,GEN,IND,553,1,554,260912,214348,11,0,OTHERS
12,2016,Tamil Nadu,Gummidipoondi,ARULVEL SELVAN C,M,38,GEN,IND,541,9,550,260912,214348,12,0,OTHERS
13,2016,Tamil Nadu,Gummidipoondi,PANDIYAN A,M,46,GEN,IND,231,0,231,260912,214348,13,0,OTHERS
14,2016,Tamil Nadu,Gummidipoondi,GANAPATHY R,M,42,GEN,IND,164,0,164,260912,214348,14,0,OTHERS
15,2016,Tamil Nadu,Gummidipoondi,SARAVANAN T,M,29,GEN,IND,156,7,163,260912,214348,15,0,OTHERS
16,2016,Tamil Nadu,Gummidipoondi,KANTHARAJ V C,M,42,GEN,GOKMK,149,0,149,260912,214348,16,0,OTHERS
17,2016,Tamil Nadu,Ponneri,BALARAMAN P,M,55,SC,ADMK,95741,238,95979,250403,197648,1,1,AIADMK
18,2016,Tamil Nadu,Ponneri,PARIMALAM K DOCTOR,F,54,SC,DMK,76070,573,76643,250403,197648,2,0,DMK
19,2016,Tamil Nadu,Ponneri,PANDIAN A,M,50,SC,PMK,9556,30,9586,250403,197648,3,0,OTHERS
20,2016,Tamil Nadu,Ponneri,SENTHIL KUMAR V,M,40,SC,VCK,5541,25,5566,250403,197648,4,0,MMK
21,2016,Tamil Nadu,Ponneri,None of the Above,,,,NOTA,2281,3,2284,250403,197648,5,0,OTHERS
22,2016,Tamil Nadu,Ponneri,GANESAN K,M,50,SC,BJP,2061,6,2067,250403,197648,6,0,NDA
23,2016,Tamil Nadu,Ponneri,VINOTH BABU S,M,33,SC,NTK,1613,7,1620,250403,197648,7,0,OTHERS
24,2016,Tamil Nadu,Ponneri,RAJA S,M,35,SC,BSP,1151,1,1152,250403,197648,8,0,OTHERS
25,2016,Tamil Nadu,Ponneri,KOTTEESWARAN K,M,34,SC,YSP,695,1,696,250403,197648,9,0,OTHERS
26,2016,Tamil Nadu,Ponneri,RUKUMANGADAN L,M,36,SC,IND,638,2,640,250403,197648,10,0,OTHERS
27,2016,Tamil Nadu,Ponneri,DILLI BABU V,M,30,SC,IND,536,0,536,250403,197648,11,0,OTHERS
28,2016,Tamil Nadu,Ponneri,SUDHAKARAN H,M,33,SC,IND,381,2,383,250403,197648,12,0,OTHERS
29,2016,Tamil Nadu,Ponneri,ELAYARAJA R,M,34,SC,IND,212,1,213,250403,197648,13,0,OTHERS
30,2016,Tamil Nadu,Ponneri,SRINIVASAN E,M,33,SC,IND,172,9,181,250403,197648,14,0,OTHERS
31,2016,Tamil Nadu,Ponneri,SATHISH RAJA M,M,33,SC,IND,102,0,102,250403,197648,15,0,OTHERS
32,2016,Tamil Nadu,Tiruttani,NARASIMHAN  P M,M,66,GEN,ADMK,92342,703,93045,274818,222409,1,1,AIADMK
33,2016,Tamil Nadu,Tiruttani,CHIDAMBARAM A G,M,45,GEN,INC,68542,1362,69904,274818,222409,2,0,DMK
34,2016,Tamil Nadu,Tiruttani,VAITHILINGAM A,M,46,GEN,PMK,29447,149,29596,274818,222409,3,0,OTHERS
35,2016,Tamil Nadu,Tiruttani,KRISHNAMURTHY D,M,53,GEN,DMDK,15558,90,15648,274818,222409,4,0,MMK
36,2016,Tamil Nadu,Tiruttani,CHAKRAVARTHY. M,M,63,GEN,BJP,5467,58,5525,274818,222409,5,0,NDA
37,2016,Tamil Nadu,Tiruttani,None of the Above,,,,NOTA,2064,12,2076,274818,222409,6,0,OTHERS
38,2016,Tamil Nadu,Tiruttani,JAIBASKARAN S,M,35,SC,BSP,1439,6,1445,274818,222409,7,0,OTHERS
39,2016,Tamil Nadu,Tiruttani,PRABU S,M,30,GEN,NTK,1075,2,1077,274818,222409,8,0,OTHERS
40,2016,Tamil Nadu,Tiruttani,RAJESHKUMAR V,M,40,GEN,IND,875,0,875,274818,222409,9,0,OTHERS
41,2016,Tamil Nadu,Tiruttani,KRISHNAMOORTHY R,M,43,GEN,IND,748,0,748,274818,222409,10,0,OTHERS
42,2016,Tamil Nadu,Tiruttani,RAJAGOPAL N,M,41,GEN,IND,721,2,723,274818,222409,11,0,OTHERS
43,2016,Tamil Nadu,Tiruttani,BABU K,M,61,GEN,IND,624,19,643,274818,222409,12,0,OTHERS
44,2016,Tamil Nadu,Tiruttani,PRATHEEP M,M,29,GEN,IND,354,5,359,274818,222409,13,0,OTHERS
45,2016,Tamil Nadu,Tiruttani,VAITHIYALINGAM K,M,32,GEN,IND,343,3,346,274818,222409,14,0,OTHERS
46,2016,Tamil Nadu,Tiruttani,NARASIMAN P,M,35,GEN,IND,246,1,247,274818,222409,15,0,OTHERS
47,2016,Tamil Nadu,Tiruttani,THUKKARAM N,M,33,GEN,IND,151,1,152,274818,222409,16,0,OTHERS
48,2016,Tamil Nadu,Thiruvallur,RAAJENDRAN V G,M,48,GEN,DMK,79474,999,80473,257558,206244,1,1,DMK
49,2016,Tamil Nadu,Thiruvallur,BASKARAN A,M,48,GEN,ADMK,75005,330,75335,257558,206244,2,0,AIADMK
50,2016,Tamil Nadu,Thiruvallur,BALAYOGI V,M,40,GEN,PMK,31766,169,31935,257558,206244,3,0,OTHERS
51,2016,Tamil Nadu,Thiruvallur,BALASUBRAMANI A,M,52,SC,VCK,6946,60,7006,257558,206244,4,0,MMK
52,2016,Tamil Nadu,Thiruvallur,PREM SEKAR M,M,34,SC,BSP,2164,7,2171,257558,206244,5,0,OTHERS
53,2016,Tamil Nadu,Thiruvallur,SRINIVASAN K,M,46,GEN,BJP,1816,10,1826,257558,206244,6,0,NDA
54,2016,Tamil Nadu,Thiruvallur,SENTHIL KUMAR K,M,28,GEN,NTK,1442,9,1451,257558,206244,7,0,OTHERS
55,2016,Tamil Nadu,Thiruvallur,None of the Above,,,,NOTA,1411,7,1418,257558,206244,8,0,OTHERS
56,2016,Tamil Nadu,Thiruvallur,BASKAR A,M,44,GEN,IND,795,1,796,257558,206244,9,0,OTHERS
57,2016,Tamil Nadu,Thiruvallur,SHANKAR K,M,32,SC,VBMP,702,1,703,257558,206244,10,0,OTHERS
58,2016,Tamil Nadu,Thiruvallur,BALA KRISHNAN N,M,38,SC,IND,572,0,572,257558,206244,11,0,OTHERS
59,2016,Tamil Nadu,Thiruvallur,RAJEEV B,M,30,SC,IND,418,0,418,257558,206244,12,0,OTHERS
60,2016,Tamil Nadu,Thiruvallur,ANANDANAYAGI A,F,42,SC,LJP,416,1,417,257558,206244,13,0,OTHERS
61,2016,Tamil Nadu,Thiruvallur,MURUGAN S,M,39,SC,IND,413,2,415,257558,206244,14,0,OTHERS
62,2016,Tamil Nadu,Thiruvallur,SRINIVASAN V,M,50,GEN,IND,289,0,289,257558,206244,15,0,OTHERS
63,2016,Tamil Nadu,Thiruvallur,BASKAR M,M,38,GEN,IND,201,1,202,257558,206244,16,0,OTHERS
64,2016,Tamil Nadu,Thiruvallur,SATHISH B,M,26,GEN,VTIP,172,0,172,257558,206244,17,0,OTHERS
65,2016,Tamil Nadu,Thiruvallur,SIVANANTHAM R,M,32,GEN,IND,114,35,149,257558,206244,18,0,OTHERS
66,2016,Tamil Nadu,Thiruvallur,ANBURAJ P,M,30,SC,IND,137,1,138,257558,206244,19,0,OTHERS
67,2016,Tamil Nadu,Thiruvallur,RAJENDIRAN D,M,38,GEN,IND,127,1,128,257558,206244,20,0,OTHERS
68,2016,Tamil Nadu,Thiruvallur,PANNEERSELVAM T N,M,49,GEN,IND,125,0,125,257558,206244,21,0,OTHERS
69,2016,Tamil Nadu,Thiruvallur,RADHAKRISHNAN D,M,36,GEN,IND,105,0,105,257558,206244,22,0,OTHERS
70,2016,Tamil Nadu,Poonamallee,ELUMALAI T A,M,51,SC,ADMK,103692,260,103952,315718,239987,1,1,AIADMK
71,2016,Tamil Nadu,Poonamallee,PARANTHAMEN I,M,39,SC,DMK,91553,636,92189,315718,239987,2,0,DMK
72,2016,Tamil Nadu,Poonamallee,PARTHASARATHY C,M,61,SC,PMK,15785,42,15827,315718,239987,3,0,OTHERS
73,2016,Tamil Nadu,Poonamallee,KANDAN D,M,42,SC,MDMK,15009,42,15051,315718,239987,4,0,MMK
74,2016,Tamil Nadu,Poonamallee,AMARNATH A,M,41,SC,BJP,3444,12,3456,315718,239987,5,0,NDA
75,2016,Tamil Nadu,Poonamallee,None of the Above,,,,NOTA,3256,9,3265,315718,239987,6,0,OTHERS
76,2016,Tamil Nadu,Poonamallee,PONNARASU A,M,26,SC,NTK,2554,8,2562,315718,239987,7,0,OTHERS
77,2016,Tamil Nadu,Poonamallee,VIJAYABALAJI V,M,35,SC,BSP,2064,2,2066,315718,239987,8,0,OTHERS
78,2016,Tamil Nadu,Poonamallee,RAMAMOORTHY M,M,43,SC,IND,391,0,391,315718,239987,9,0,OTHERS
79,2016,Tamil Nadu,Poonamallee,PRATHAP R,M,33,SC,SHS,351,0,351,315718,239987,10,0,OTHERS
80,2016,Tamil Nadu,Poonamallee,NAGARAJ J,M,33,SC,IND,312,0,312,315718,239987,11,0,OTHERS
81,2016,Tamil Nadu,Poonamallee,TAMILSELVAN B,M,38,SC,IND,177,0,177,315718,239987,12,0,OTHERS
82,2016,Tamil Nadu,Poonamallee,ANANTH C,M,38,SC,IND,150,1,151,315718,239987,13,0,OTHERS
83,2016,Tamil Nadu,Poonamallee,KANDHASAMY B,M,41,SC,IND,115,6,121,315718,239987,14,0,OTHERS
84,2016,Tamil Nadu,Poonamallee,SANKARALINGAM J,M,30,SC,IND,110,6,116,315718,239987,15,0,OTHERS
85,2016,Tamil Nadu,Avadi,PANDIA RAJAN K,M,56,GEN,ADMK,107386,678,108064,398613,270732,1,1,AIADMK
86,2016,Tamil Nadu,Avadi,NASAR S M,M,56,GEN,DMK,105744,925,106669,398613,270732,2,0,DMK
87,2016,Tamil Nadu,Avadi,ANTHRIDOSS R,M,57,GEN,MDMK,22687,161,22848,398613,270732,3,0,MMK
88,2016,Tamil Nadu,Avadi,ANANDAKRISHNAN N,M,44,GEN,PMK,12348,80,12428,398613,270732,4,0,OTHERS
89,2016,Tamil Nadu,Avadi,LOGANATHAN J,M,48,GEN,BJP,7192,40,7232,398613,270732,5,0,NDA
90,2016,Tamil Nadu,Avadi,None of the Above,,,,NOTA,4970,24,4994,398613,270732,6,0,OTHERS
91,2016,Tamil Nadu,Avadi,NALLATHAMBI S,M,26,GEN,NTK,4275,26,4301,398613,270732,7,0,OTHERS
92,2016,Tamil Nadu,Avadi,CHARLES S,M,35,SC,BSP,1474,3,1477,398613,270732,8,0,OTHERS
93,2016,Tamil Nadu,Avadi,NAZAR S M A,M,48,GEN,IND,452,0,452,398613,270732,9,0,OTHERS
94,2016,Tamil Nadu,Avadi,DINESH KUMAR P,M,34,SC,IND,402,0,402,398613,270732,10,0,OTHERS
95,2016,Tamil Nadu,Avadi,PANDIARAJAN G,M,26,GEN,IND,386,0,386,398613,270732,11,0,OTHERS
96,2016,Tamil Nadu,Avadi,DHARANI K,M,35,GEN,IND,193,0,193,398613,270732,12,0,OTHERS
97,2016,Tamil Nadu,Avadi,SELVANAYAGAM D,M,60,SC,IND,188,0,188,398613,270732,13,0,OTHERS
98,2016,Tamil Nadu,Avadi,ANTHARAIYAN,M,62,GEN,IND,149,24,173,398613,270732,14,0,OTHERS
99,2016,Tamil Nadu,Avadi,DURGA PRASAD G,M,32,GEN,IND,148,0,148,398613,270732,15,0,OTHERS
100,2016,Tamil Nadu,Avadi,PONNUSAMY R,M,32,GEN,VBMP,138,0,138,398613,270732,16,0,OTHERS
101,2016,Tamil Nadu,Avadi,KARTHIKEYAN V P,M,25,SC,IND,129,7,136,398613,270732,17,0,OTHERS
102,2016,Tamil Nadu,Avadi,JANOVA J,M,33,SC,IND,115,0,115,398613,270732,18,0,OTHERS
103,2016,Tamil Nadu,Avadi,KALIAMMAL RAJENDRAN,F,49,SC,IND,110,0,110,398613,270732,19,0,OTHERS
104,2016,Tamil Nadu,Avadi,SATHYA D,M,41,GEN,IND,103,0,103,398613,270732,20,0,OTHERS
105,2016,Tamil Nadu,Avadi,RAMACHANDRAN J,M,40,GEN,IND,89,0,89,398613,270732,21,0,OTHERS
106,2016,Tamil Nadu,Avadi,ROWOTH PASARI,F,56,GEN,SAP,86,0,86,398613,270732,22,0,OTHERS
107,2016,Tamil Nadu,Maduravoyal,BENJAMIN P,M,46,GEN,ADMK,99558,181,99739,402205,248597,1,1,AIADMK
108,2016,Tamil Nadu,Maduravoyal,RAJESH R,M,37,GEN,INC,90923,414,91337,402205,248597,2,0,DMK
109,2016,Tamil Nadu,Maduravoyal,BEEMRAO G,M,58,SC,CPM,19559,53,19612,402205,248597,3,0,OTHERS
110,2016,Tamil Nadu,Maduravoyal,SRINIVASAN N V,M,60,GEN,PMK,17287,41,17328,402205,248597,4,0,OTHERS
111,2016,Tamil Nadu,Maduravoyal,None of the Above,,,,NOTA,6648,7,6655,402205,248597,5,0,OTHERS
112,2016,Tamil Nadu,Maduravoyal,VASU M,M,48,GEN,NTK,6171,10,6181,402205,248597,6,0,OTHERS
113,2016,Tamil Nadu,Maduravoyal,ANANDAPRIYA R,F,35,GEN,IJK,4574,8,4582,402205,248597,7,0,NDA
114,2016,Tamil Nadu,Maduravoyal,MOHAMED ABBAS S,M,37,GEN,BSP,806,1,807,402205,248597,8,0,OTHERS
115,2016,Tamil Nadu,Maduravoyal,DHANASEKAR A,M,34,GEN,YSP,547,2,549,402205,248597,9,0,OTHERS
116,2016,Tamil Nadu,Maduravoyal,GANAPATHY SURESH,M,46,GEN,IND,501,2,503,402205,248597,10,0,OTHERS
117,2016,Tamil Nadu,Maduravoyal,RAJESH C,M,30,GEN,IND,430,0,430,402205,248597,11,0,OTHERS
118,2016,Tamil Nadu,Maduravoyal,SRIRANGARAYAN G,M,42,GEN,KMDK,274,0,274,402205,248597,12,0,OTHERS
119,2016,Tamil Nadu,Maduravoyal,SRINIVASAN K V,M,47,GEN,IND,267,2,269,402205,248597,13,0,OTHERS
120,2016,Tamil Nadu,Maduravoyal,RAVI C V,M,36,GEN,IND,173,0,173,402205,248597,14,0,OTHERS
121,2016,Tamil Nadu,Maduravoyal,ARUN KUMAR R,M,35,GEN,IND,155,3,158,402205,248597,15,0,OTHERS
122,2016,Tamil Nadu,Ambattur,ALEXANDER  V,M,44,GEN,ADMK,94126,249,94375,359345,229632,1,1,AIADMK
123,2016,Tamil Nadu,Ambattur,AASSAN MAULAANA,M,32,GEN,INC,76329,548,76877,359345,229632,2,0,DMK
124,2016,Tamil Nadu,Ambattur,SEKAR K N,M,45,GEN,PMK,16549,86,16635,359345,229632,3,0,OTHERS
125,2016,Tamil Nadu,Ambattur,CONSTANDINE RAVINDRAN J,M,48,GEN,DMDK,16577,54,16631,359345,229632,4,0,MMK
126,2016,Tamil Nadu,Ambattur,DEVARAJAN  C,M,46,GEN,BJP,9518,45,9563,359345,229632,5,0,NDA
127,2016,Tamil Nadu,Ambattur,None of the Above,,,,NOTA,5583,20,5603,359345,229632,6,0,OTHERS
128,2016,Tamil Nadu,Ambattur,ANBUTHENNARASAN  R,M,53,GEN,NTK,5034,10,5044,359345,229632,7,0,OTHERS
129,2016,Tamil Nadu,Ambattur,SIMRAN KALATI,F,40,GEN,YSP,550,3,553,359345,229632,8,0,OTHERS
130,2016,Tamil Nadu,Ambattur,ABUBAKKAR M,M,58,GEN,NCP,477,2,479,359345,229632,9,0,OTHERS
131,2016,Tamil Nadu,Ambattur,PRAKASH  C,M,43,SC,BSP,452,4,456,359345,229632,10,0,OTHERS
132,2016,Tamil Nadu,Ambattur,DEVARAJAN G,M,40,GEN,IND,418,0,418,359345,229632,11,0,OTHERS
133,2016,Tamil Nadu,Ambattur,PALANIVEL K,M,50,SC,CPI(ML)(L),400,3,403,359345,229632,12,0,OTHERS
134,2016,Tamil Nadu,Ambattur,CHINNADURAI   M,M,39,GEN,IND,384,1,385,359345,229632,13,0,OTHERS
135,2016,Tamil Nadu,Ambattur,SHIVAKUMAR    S,M,37,GEN,IND,339,0,339,359345,229632,14,0,OTHERS
136,2016,Tamil Nadu,Ambattur,NARMADHA NANDHAKUMAR,F,37,GEN,IND,265,2,267,359345,229632,15,0,OTHERS
137,2016,Tamil Nadu,Ambattur,PRAKASH R,M,49,GEN,IND,232,2,234,359345,229632,16,0,OTHERS
138,2016,Tamil Nadu,Ambattur,VISWANATHAN R,M,59,GEN,IND,166,0,166,359345,229632,17,0,OTHERS
139,2016,Tamil Nadu,Ambattur,MANOHARAN  D,M,38,SC,IND,128,0,128,359345,229632,18,0,OTHERS
140,2016,Tamil Nadu,Ambattur,BALAJI   G,M,38,GEN,IND,119,0,119,359345,229632,19,0,OTHERS
141,2016,Tamil Nadu,Ambattur,GANESAN N,M,47,GEN,IND,117,0,117,359345,229632,20,0,OTHERS
142,2016,Tamil Nadu,Ambattur,KANAKARAJ  K,M,47,SC,IND,116,0,116,359345,229632,21,0,OTHERS
143,2016,Tamil Nadu,Ambattur,RAMESH B,M,46,GEN,IND,115,0,115,359345,229632,22,0,OTHERS
144,2016,Tamil Nadu,Ambattur,RANGANATHAN  K,M,36,GEN,VTK,112,0,112,359345,229632,23,0,OTHERS
145,2016,Tamil Nadu,Ambattur,RAMADASS   A S,M,46,SC,IND,109,0,109,359345,229632,24,0,OTHERS
146,2016,Tamil Nadu,Ambattur,DHANRAJ P,M,61,GEN,IND,106,0,106,359345,229632,25,0,OTHERS
147,2016,Tamil Nadu,Ambattur,ARUMUGAM  S,M,49,SC,IND,100,0,100,359345,229632,26,0,OTHERS
148,2016,Tamil Nadu,Ambattur,BALACHANDAR  M,M,38,GEN,PPIS,92,7,99,359345,229632,27,0,OTHERS
149,2016,Tamil Nadu,Ambattur,VIJAYAKUMAR G,M,58,GEN,IND,83,0,83,359345,229632,28,0,OTHERS
150,2016,Tamil Nadu,Madavaram,SUDHARSANAM S,M,57,GEN,DMK,121293,789,122082,392299,268718,1,1,DMK
151,2016,Tamil Nadu,Madavaram,DHAKSHNAMOORTHY D,M,41,GEN,ADMK,106572,257,106829,392299,268718,2,0,AIADMK
152,2016,Tamil Nadu,Madavaram,ERAVIRAJ G,M,51,GEN,PMK,14202,43,14245,392299,268718,3,0,OTHERS
153,2016,Tamil Nadu,Madavaram,KANNAN A S,M,74,SC,CPI,9353,30,9383,392299,268718,4,0,MMK
154,2016,Tamil Nadu,Madavaram,JANAKIRAMAN R M R,M,60,GEN,BJP,5148,13,5161,392299,268718,5,0,NDA
155,2016,Tamil Nadu,Madavaram,None of the Above,,,,NOTA,4283,8,4291,392299,268718,6,0,OTHERS
156,2016,Tamil Nadu,Madavaram,ELUMALAI R,M,50,GEN,NTK,3681,16,3697,392299,268718,7,0,OTHERS
157,2016,Tamil Nadu,Madavaram,GIRI C,M,33,SC,BSP,829,0,829,392299,268718,8,0,OTHERS
158,2016,Tamil Nadu,Madavaram,GOPI M,M,37,SC,YSP,572,1,573,392299,268718,9,0,OTHERS
159,2016,Tamil Nadu,Madavaram,JANAKIRAMAN S,M,49,SC,CPI(ML)(L),392,1,393,392299,268718,10,0,OTHERS
160,2016,Tamil Nadu,Madavaram,NANDAKUMAR P,M,46,GEN,IND,312,0,312,392299,268718,11,0,OTHERS
161,2016,Tamil Nadu,Madavaram,VINOTHKUMAR P,M,31,GEN,FIP,300,3,303,392299,268718,12,0,OTHERS
162,2016,Tamil Nadu,Madavaram,NAGARAJ S,M,33,SC,IND,254,2,256,392299,268718,13,0,OTHERS
163,2016,Tamil Nadu,Madavaram,RAJASEKARAN M,M,27,SC,IND,131,1,132,392299,268718,14,0,OTHERS
164,2016,Tamil Nadu,Madavaram,SATHEESH S,M,31,GEN,IND,117,6,123,392299,268718,15,0,OTHERS
165,2016,Tamil Nadu,Madavaram,SURESHKUMAR S,M,34,SC,IND,107,2,109,392299,268718,16,0,OTHERS
166,2016,Tamil Nadu,Thiruvottiyur,SAMY.K.P.P,M,53,GEN,DMK,81866,339,82205,284010,190061,1,1,DMK
167,2016,Tamil Nadu,Thiruvottiyur,BALRAJ.B,M,58,GEN,ADMK,77208,134,77342,284010,190061,2,0,AIADMK
168,2016,Tamil Nadu,Thiruvottiyur,ARUMUGAM.A.V,M,37,GEN,DMDK,13444,19,13463,284010,190061,3,0,MMK
169,2016,Tamil Nadu,Thiruvottiyur,VASANTHAKUMARI.R,F,42,GEN,PMK,4009,16,4025,284010,190061,4,0,OTHERS
170,2016,Tamil Nadu,Thiruvottiyur,GOKUL.R,M,42,GEN,NTK,3955,6,3961,284010,190061,5,0,OTHERS
171,2016,Tamil Nadu,Thiruvottiyur,SIVAKUMAR.M,M,46,GEN,BJP,3304,9,3313,284010,190061,6,0,NDA
172,2016,Tamil Nadu,Thiruvottiyur,None of the Above,,,,NOTA,2907,10,2917,284010,190061,7,0,OTHERS
173,2016,Tamil Nadu,Thiruvottiyur,DHANASEKAR.C,M,33,GEN,IND,511,0,511,284010,190061,8,0,OTHERS
174,2016,Tamil Nadu,Thiruvottiyur,KARNAN.P,M,49,GEN,SHS,425,0,425,284010,190061,9,0,OTHERS
175,2016,Tamil Nadu,Thiruvottiyur,TAMILSELVAN.S,M,33,GEN,IND,299,0,299,284010,190061,10,0,OTHERS
176,2016,Tamil Nadu,Thiruvottiyur,NANDHAKUMAR.B,M,28,GEN,GOKMK,252,0,252,284010,190061,11,0,OTHERS
177,2016,Tamil Nadu,Thiruvottiyur,SELVAM.P,M,54,GEN,IND,196,0,196,284010,190061,12,0,OTHERS
178,2016,Tamil Nadu,Thiruvottiyur,THAMOTHARAN.P,M,39,GEN,IND,190,0,190,284010,190061,13,0,OTHERS
179,2016,Tamil Nadu,Thiruvottiyur,RAMESH.E,M,41,GEN,IND,166,0,166,284010,190061,14,0,OTHERS
180,2016,Tamil Nadu,Thiruvottiyur,KARIMULLA.M.G,M,55,GEN,IND,154,5,159,284010,190061,15,0,OTHERS
181,2016,Tamil Nadu,Thiruvottiyur,MANIKANDAN.K,M,26,SC,IND,138,0,138,284010,190061,16,0,OTHERS
182,2016,Tamil Nadu,Thiruvottiyur,ZAKIR HUSSAIN.B,M,42,GEN,IND,101,3,104,284010,190061,17,0,OTHERS
183,2016,Tamil Nadu,Thiruvottiyur,SUNDAR.D,M,28,GEN,VTIP,100,0,100,284010,190061,18,0,OTHERS
184,2016,Tamil Nadu,Thiruvottiyur,SANKAR.D,M,40,SC,IND,87,0,87,284010,190061,19,0,OTHERS
185,2016,Tamil Nadu,Thiruvottiyur,SENTHIL.K,M,40,GEN,IND,79,0,79,284010,190061,20,0,OTHERS
186,2016,Tamil Nadu,Thiruvottiyur,ISRATHBEGUM.A.R,F,43,GEN,IND,65,0,65,284010,190061,21,0,OTHERS
187,2016,Tamil Nadu,Thiruvottiyur,SOWRI RAJAN.M,M,53,GEN,PPIS,64,0,64,284010,190061,22,0,OTHERS
188,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,JAYALALITHAA J,F,68,GEN,ADMK,97037,181,97218,254558,174015,1,1,AIADMK
189,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,SHIMLA MUTHUCHOZHAN,F,34,GEN,DMK,57420,253,57673,254558,174015,2,0,DMK
190,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,VASANTHI DEVI V,F,77,GEN,VCK,4182,13,4195,254558,174015,3,0,MMK
191,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,AGNES F,F,49,GEN,PMK,3003,8,3011,254558,174015,4,0,OTHERS
192,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,RAJA M.N,M,58,GEN,BJP,2918,10,2928,254558,174015,5,0,NDA
193,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,None of the Above,,,,NOTA,2865,8,2873,254558,174015,6,0,OTHERS
194,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,DEVI G,O,38,GEN,NTK,2503,10,2513,254558,174015,7,0,OTHERS
195,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,EDINBUROUGH J,M,37,GEN,BSP,327,0,327,254558,174015,8,0,OTHERS
196,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,MICHAEL RAJ M.A,M,47,GEN,IND,230,0,230,254558,174015,9,0,OTHERS
197,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,"SELVARANI,",F,38,SC,IND,206,0,206,254558,174015,10,0,OTHERS
198,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,MARIMUTHU P,M,60,GEN,IND,204,0,204,254558,174015,11,0,OTHERS
199,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,GOPI M,M,36,GEN,IND,189,0,189,254558,174015,12,0,OTHERS
200,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,ARUNTHATHI RAMACHANDRAN,M,41,SC,IND,176,1,177,254558,174015,13,0,OTHERS
201,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,VENUGOPAL D,M,30,SC,SHS,162,0,162,254558,174015,14,0,OTHERS
202,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,SADAIYANDI.E,M,53,SC,SUCI,132,0,132,254558,174015,15,0,OTHERS
203,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,RAVI PARAYANAR.D,M,39,SC,RPI(A),125,0,125,254558,174015,16,0,OTHERS
204,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,BHUVANESWARI P,F,28,SC,IND,119,0,119,254558,174015,17,0,OTHERS
205,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,KAVERISELVAM M,M,28,GEN,IND,104,0,104,254558,174015,18,0,OTHERS
206,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,NAMBIRAJAN N,M,31,SC,IND,100,0,100,254558,174015,19,0,OTHERS
207,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,JAYALAKSHMI K,F,36,GEN,IND,99,0,99,254558,174015,20,0,OTHERS
208,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,MANAOHARAN S,M,34,GEN,IND,98,0,98,254558,174015,21,0,OTHERS
209,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,PREMKUMAR P,M,27,GEN,IND,82,0,82,254558,174015,22,0,OTHERS
210,2016,Tamil Nadu,Dr.Radhakrishnan Nagar,ARUNTHATHI VADIVEL MURUGAN,M,41,SC,IND,81,0,81,254558,174015,23,0,OTHERS
